LT_um,P_W,V_mm_s,H_um,Cost,Carbon,Efficiency,RD,Method
80,389.66202210220655,1149.596923840166,108.49013063191262,3.926014058666084,0.08796565135683136,9.977593635317161,99.50017607801729,NSGA-II
80,389.0488434045827,1150.0,108.42882408732952,3.9198844140597493,0.08797537681909529,9.975451816034315,99.50009654626597,NSGA-II
80,388.9589490466742,1149.9929726694938,108.38746570227417,3.9189878697029075,0.08800813604645473,9.971585910645686,99.50050046538308,NSGA-II
80,388.7745103335088,1150.0,108.34841075239979,3.917145703175862,0.08803655979875301,9.96805378922078,99.50075970779754,NSGA-II
80,388.2437949937031,1149.9801788575862,108.31713401517199,3.9118404162687663,0.08805555904257903,9.96500457184869,99.50051197908635,NSGA-II
80,388.1588033379469,1149.5700807627336,108.33863658108648,3.910990665262103,0.08806821589191174,9.963428416339521,99.50028170670055,NSGA-II
80,387.8050883955883,1149.6071285547398,108.29542504213913,3.9074558757691373,0.08809522093697147,9.95977540946469,99.50035869273943,NSGA-II
80,387.26963289377613,1149.4555256526241,108.2705623538787,3.9021032716750947,0.08811905433790355,9.956175693054629,99.50003114964105,NSGA-II
80,387.2230744568536,1149.4423259910095,108.26043861277644,3.9016383157521917,0.08812760844173108,9.955130429750133,99.50009875320704,NSGA-II
80,386.7980162631177,1149.360683639248,108.22192278219065,3.8973902336318895,0.08815886493760247,9.950881852295405,99.50003758839381,NSGA-II
80,386.6387189483136,1149.571823946445,108.16689769348574,3.8957997104417146,0.0881851214538832,9.947649429770314,99.50042518037112,NSGA-II
80,386.53061373902796,1149.9935223859086,108.11280231702429,3.8947203349483726,0.08819527131787872,9.946321788125294,99.50080023246807,NSGA-II
80,386.2709758389787,1149.9926747033574,108.07138760864895,3.8921263512578834,0.08822523839128764,9.942504327597877,99.50095240698025,NSGA-II
80,386.17857728382006,1149.7972057129741,108.07679694324236,3.8912027238587803,0.08823443407039235,9.941311930219886,99.50082349235511,NSGA-II
80,385.76767684163343,1149.6172181325298,108.0593334696209,3.8870953469612797,0.08825634559180821,9.938149626928075,99.50052280145955,NSGA-II
80,385.5927446823926,1149.4778091589637,108.07159113917182,3.885345795565648,0.08825441511086526,9.93807166519828,99.5001718608976,NSGA-II
80,385.36041767839447,1149.9941283546825,107.99873520049861,3.883024966004163,0.08827081386049165,9.935832908024446,99.50055648001435,NSGA-II
80,385.2517578882322,1149.3846671531232,108.03222667877208,3.881938524529127,0.0882886071577057,9.933646792239298,99.50019279032477,NSGA-II
80,385.0,1149.5629593560625,108.01266203708794,3.879421464812177,0.08828712679120981,9.933388433542483,99.50000436525639,NSGA-II
100,415.8764821839355,957.1262318163211,114.9580710905443,4.1926723343247865,0.08012445136053888,11.002938539976542,99.50117075423763,NSGA-II
100,412.16910180248226,956.2251127069911,115.0,4.155599536396712,0.08012047648733771,10.996588796130398,99.50227802132055,NSGA-II
100,407.6844223103046,956.1020460124342,114.9114532891636,4.110757512343473,0.08013170345735292,10.986707560003161,99.50163006654567,NSGA-II
100,404.9166659199382,955.1820144916527,115.0,4.0830787362560255,0.08010958225233701,10.984593166654008,99.50065482634649,NSGA-II
100,404.1997038193266,955.3075033567764,114.96350062774737,4.075910480887247,0.08011476010769296,10.982549476184854,99.50016843835242,NSGA-II
100,402.3275752348506,954.7689543499092,114.90578641097575,4.05719387925119,0.08017477241342112,10.970847754036134,99.50003983107698,NSGA-II
100,402.22808097610306,953.5385477590796,115.0,4.056198521122339,0.08021110094775985,10.965693299229416,99.50145847420615,NSGA-II
100,401.8397209640797,955.704745490951,114.66809654246771,4.052323854749471,0.08025564905710596,10.958884402205092,99.50001268196627,NSGA-II
100,400.66361795619514,952.8253174835173,114.98135308036527,4.040557265564243,0.08026287169955837,10.955714425348344,99.50137462493169,NSGA-II
100,400.1481840013586,952.3668279858515,115.0,4.0354035889204845,0.08028147500713598,10.952218521837294,99.5015123550606,NSGA-II
100,398.0346486541053,951.639986288112,115.0,4.014270748641838,0.08031400693854097,10.94385984231329,99.50030344435176,NSGA-II
100,397.50352641353317,951.8044348199497,114.75397141716002,4.0089711196057705,0.08046502105698046,10.922333890805467,99.50161869784289,NSGA-II
100,396.96206948861595,949.7452099983286,114.95554310757122,4.003553738352078,0.08049069025091192,10.917847642917216,99.50305766730845,NSGA-II
100,396.7320702382526,950.330482340198,114.88128279261102,4.001255380500446,0.08048997761641676,10.917518488816272,99.5022611033458,NSGA-II
100,394.59383945195077,949.5852099023318,114.93321054767755,3.9798731015906443,0.0804875587735811,10.913887686266529,99.50000482243712,NSGA-II
100,394.23548434422764,950.1561510372851,114.61268649817202,3.976303460673726,0.08065921864978964,10.889994906314614,99.50133572021532,NSGA-II
100,394.2040224326016,949.1958030387168,114.67887939141814,3.975988915132208,0.08069378563257207,10.88527110155173,99.50258774938095,NSGA-II
100,393.73487268059944,949.4110500382712,114.61592637173067,3.9712997949063333,0.08071337423874668,10.8817627007694,99.50197652042307,NSGA-II
100,392.3763337619434,946.823612538117,114.9179952043503,3.957708490706867,0.08070259943696746,10.880707136502096,99.50201612903643,NSGA-II
100,391.65698024808364,947.0072350613398,114.84579354362481,3.9505178951817683,0.08072781738135264,10.87597974021736,99.50102614209737,NSGA-II
100,389.8364455094795,945.3743597890057,114.90293917974616,3.9323154825255298,0.08080204685943485,10.86262925649276,99.50037474284187,NSGA-II
100,388.59892304492314,943.8121057561311,114.84882536628072,3.919948512114762,0.08095689235090416,10.839571171256758,99.50160725859027,NSGA-II
100,388.00071067784506,943.0151488808165,114.91240993428576,3.913966064861922,0.0809722474375996,10.836414336243392,99.50141786193782,NSGA-II
100,387.0243657823373,943.302831327311,114.67779058666255,3.904213307336418,0.08109969368022839,10.817588455075924,99.50091574319744,NSGA-II
100,386.5835785894024,945.0200867883528,114.22408322254495,3.899822056642493,0.08126776006429881,10.794405304028947,99.50066343795541,NSGA-II
100,386.01734794498725,942.1995549591462,114.53767824374833,3.8941541222857063,0.08128004834791161,10.791734946731356,99.50226324412851,NSGA-II
100,385.3445251507893,943.0077962389671,114.42730109577946,3.8874285288270802,0.08127942817545739,10.790583703590373,99.5000874815479,NSGA-II
100,385.3157099739368,941.6553964914393,114.53696367760955,3.887139743121421,0.0813178249311791,10.785434994476502,99.5017962159233,NSGA-II
100,385.0,942.8176057326139,114.3693252047021,3.88398688032441,0.0813322650214563,10.782941335875194,99.50021979374553,NSGA-II
100,385.0,937.7793764466846,114.81058188290278,3.8839829716677934,0.08145493707675647,10.766699588762961,99.50659541019922,NSGA-II
120,412.94896134240423,741.1640117460644,115.0,4.174025929928388,0.0861510538109804,10.22806336209569,99.50038793989764,NSGA-II
120,409.58562350575056,740.9911241046086,115.0,4.140393362934561,0.08612214384450491,10.225677512643598,99.50009018901116,NSGA-II
120,409.4183181493158,740.8740727080632,115.0,4.138720859075176,0.08613331015175699,10.224062203371272,99.50019864764147,NSGA-II
120,409.17177086212155,740.8497017781123,114.99302935287585,4.136255868861064,0.08613777042264258,10.223106180316774,99.50017498398529,NSGA-II
120,407.661607146378,740.4564985346135,115.0,4.121155712558021,0.08615626138603917,10.218299679777667,99.50011944666419,NSGA-II
120,406.28555986151537,739.9837044222394,114.99999874572939,4.107397467608515,0.08619122375262186,10.211775009650125,99.50009764814594,NSGA-II
120,406.2063263823534,739.4994186339949,115.0,4.106607419879924,0.08624650288644661,10.205091977149129,99.50071719697492,NSGA-II
120,405.39987400475326,739.3010913042363,115.0,4.098543834247216,0.086257858460509,10.20235505999846,99.50053064457877,NSGA-II
120,404.47158584993224,738.757753956344,115.0,4.089263527324817,0.0863077224916928,10.194857004597548,99.50068991926706,NSGA-II
120,403.49752270589283,738.5926135914639,115.0,4.079523679713706,0.08631277770974698,10.192578067562202,99.50023383650125,NSGA-II
120,403.11452784230494,738.2653918744423,114.99865373344973,4.0756953573674854,0.08634643796764772,10.187943139627027,99.50040171296523,NSGA-II
120,402.55496147771635,738.1086826342756,115.0,4.070100367891826,0.08635557139472087,10.185899820353004,99.5001749701989,NSGA-II
120,402.41030267646784,737.7312964348132,115.0,4.06865557749464,0.08639762294386111,10.180691890800421,99.50058005278645,NSGA-II
120,401.90129399393135,737.5626110312721,115.0,4.063566295205658,0.08640992843652122,10.178364032231555,99.50038954175355,NSGA-II
120,401.52845324151065,737.2938058264155,115.0,4.059839171053085,0.08643596751018164,10.174654520404532,99.50043962094449,NSGA-II
120,401.4584809417177,737.2777967679369,114.99999851901701,4.059139524617859,0.08643682048451536,10.174433464370026,99.50040021439534,NSGA-II
120,400.5105825241016,736.9240098813659,115.0,4.049662232067905,0.08646442220985266,10.169551336362849,99.50002164879798,NSGA-II
120,399.55069345229003,736.2565858408833,115.0,4.040066540441872,0.0865287150049586,10.16034088460419,99.50000475730857,NSGA-II
